date,value
1981-01-01,55.08 deg_F
1981-01-02,51.48 deg_F
1981-01-03,51.87 deg_F
1981-01-04,45.09 deg_F
1981-01-05,48.72 deg_F
1981-01-06,52.01 deg_F
1981-01-07,51.79 deg_F
1981-01-08,51.48 deg_F
1981-01-09,49.35 deg_F
1981-01-10,50.77 deg_F
1981-01-11,50.86 deg_F
1981-01-12,52.06 deg_F
1981-01-13,48.66 deg_F
1981-01-14,51.97 deg_F
1981-01-15,50.32 deg_F
1981-01-16,51.76 deg_F
1981-01-17,42.26 deg_F
1981-01-18,44.59 deg_F
1981-01-19,49.81 deg_F
1981-01-20,46.71 deg_F
1981-01-21,51.78 deg_F
1981-01-22,54.16 deg_F
1981-01-23,50.59 deg_F
1981-01-24,36.03 deg_F
1981-01-25,35.18 deg_F
1981-01-26,38.97 deg_F
1981-01-27,38.38 deg_F
1981-01-28,38.04 deg_F
1981-01-29,35.24 deg_F
1981-01-30,31.75 deg_F
1981-01-31,31.05 deg_F
1981-02-01,40.86 deg_F
1981-02-02,43.31 deg_F
1981-02-03,45.32 deg_F
1981-02-04,44.86 deg_F
1981-02-05,45.14 deg_F
1981-02-06,38.72 deg_F
1981-02-07,39.68 deg_F
1981-02-08,44.62 deg_F
1981-02-09,42.16 deg_F
1981-02-10,43.66 deg_F
1981-02-11,46.12 deg_F
1981-02-12,45.22 deg_F
1981-02-13,50.0 deg_F
1981-02-14,47.36 deg_F
1981-02-15,49.96 deg_F
1981-02-16,53.17 deg_F
1981-02-17,55.04 deg_F
1981-02-18,51.91 deg_F
1981-02-19,60.15 deg_F
1981-02-20,51.42 deg_F
1981-02-21,43.87 deg_F
1981-02-22,53.38 deg_F
1981-02-23,56.44 deg_F
1981-02-24,52.34 deg_F
1981-02-25,32.14 deg_F
1981-02-26,32.88 deg_F
1981-02-27,35.43 deg_F
1981-02-28,42.48 deg_F
1981-03-01,44.37 deg_F
1981-03-02,47.27 deg_F
1981-03-03,45.31 deg_F
1981-03-04,47.9 deg_F
1981-03-05,37.42 deg_F
1981-03-06,45.82 deg_F
1981-03-07,49.35 deg_F
1981-03-08,45.7 deg_F
1981-03-09,53.74 deg_F
1981-03-10,55.49 deg_F
